epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,20.7213,0.20861,0.29802,0.78711,0.81193,0.75933,0.79078,0.60791,0.73458,1.05519,0.99177,0.00059825,0.00059825,0.00059825
81,20.9479,0.21489,0.2876,0.78266,0.77103,0.79665,0.78567,0.60687,0.74219,1.07367,0.9948,0.00059,0.00059,0.00059
82,21.2673,0.21118,0.28458,0.78189,0.76555,0.78314,0.78449,0.59868,0.74044,1.07673,1.00145,0.00058175,0.00058175,0.00058175
83,21.487,0.20627,0.29106,0.78062,0.76793,0.79665,0.79227,0.60462,0.75278,1.0732,1.00723,0.0005735,0.0005735,0.0005735
84,21.7167,0.20796,0.28486,0.7823,0.81213,0.74582,0.79401,0.60716,0.74752,1.04673,1.00812,0.00056525,0.00056525,0.00056525
85,21.9372,0.21738,0.28477,0.78021,0.81767,0.74553,0.79433,0.61173,0.73751,1.04216,1.00332,0.000557,0.000557,0.000557
86,22.1676,0.20197,0.28228,0.78018,0.80887,0.75933,0.79636,0.60993,0.73818,1.04001,1.00138,0.00054875,0.00054875,0.00054875
87,22.3904,0.20544,0.27998,0.7831,0.80716,0.75428,0.79186,0.60989,0.71657,1.03461,0.99764,0.0005405,0.0005405,0.0005405
88,22.6194,0.20442,0.2753,0.77862,0.81997,0.77638,0.78389,0.60066,0.72838,1.06287,0.99979,0.00053225,0.00053225,0.00053225
89,22.8426,0.19885,0.27302,0.78004,0.82572,0.78158,0.78406,0.60051,0.73226,1.06378,0.99575,0.000524,0.000524,0.000524
90,23.0701,0.20918,0.28179,0.78156,0.801,0.78314,0.79256,0.60978,0.7339,1.03883,0.9973,0.00051575,0.00051575,0.00051575
91,23.2911,0.19214,0.26849,0.7787,0.7978,0.78314,0.7921,0.61428,0.73674,1.02797,1.00018,0.0005075,0.0005075,0.0005075
92,23.5212,0.19241,0.26989,0.78086,0.78125,0.78785,0.78158,0.60419,0.73349,1.05848,1.00534,0.00049925,0.00049925,0.00049925
93,23.7454,0.18484,0.26083,0.77681,0.81345,0.75257,0.77906,0.60364,0.73223,1.06018,1.00165,0.000491,0.000491,0.000491
94,23.9761,0.19584,0.273,0.78258,0.82666,0.74529,0.79405,0.61233,0.74632,1.0402,1.00469,0.00048275,0.00048275,0.00048275
95,24.1951,0.20013,0.26138,0.77886,0.83742,0.73648,0.79283,0.61165,0.7478,1.03737,1.00479,0.0004745,0.0004745,0.0004745
96,24.4259,0.2078,0.28328,0.77703,0.78039,0.79665,0.78126,0.61106,0.73033,1.0575,1.00113,0.00046625,0.00046625,0.00046625
97,24.6482,0.19404,0.25822,0.77921,0.78559,0.78968,0.78381,0.61284,0.73558,1.06558,1.0035,0.000458,0.000458,0.000458
98,24.8809,0.1931,0.26803,0.78105,0.81721,0.74597,0.78684,0.60902,0.74491,1.05247,1.01519,0.00044975,0.00044975,0.00044975
99,25.1063,0.20522,0.26794,0.7794,0.76526,0.80219,0.79514,0.6141,0.75209,1.02703,1.02284,0.0004415,0.0004415,0.0004415
100,25.3368,0.20371,0.26997,0.77784,0.76419,0.78864,0.79206,0.61523,0.73435,1.02661,1.00968,0.00043325,0.00043325,0.00043325
101,25.5611,0.18256,0.24926,0.7768,0.75722,0.77638,0.77646,0.60692,0.74386,1.07251,1.00689,0.000425,0.000425,0.000425
102,25.8851,0.18265,0.24939,0.77609,0.80261,0.77638,0.78418,0.60567,0.74063,1.06919,1.00914,0.00041675,0.00041675,0.00041675
103,26.1057,0.19397,0.26414,0.77623,0.80933,0.77019,0.79183,0.60379,0.7435,1.04424,1.00912,0.0004085,0.0004085,0.0004085
104,26.3365,0.18216,0.24732,0.77661,0.81235,0.75521,0.79056,0.60589,0.74691,1.03266,1.01565,0.00040025,0.00040025,0.00040025
105,26.5566,0.18328,0.24713,0.77733,0.7917,0.75627,0.78142,0.60179,0.74166,1.02997,1.01486,0.000392,0.000392,0.000392
106,26.7853,0.18346,0.25055,0.77645,0.78743,0.75257,0.77627,0.59945,0.74278,1.05255,1.0123,0.00038375,0.00038375,0.00038375
107,27.0093,0.18447,0.2536,0.77234,0.75418,0.78392,0.77951,0.60224,0.74347,1.05515,1.01464,0.0003755,0.0003755,0.0003755
108,27.2366,0.18615,0.25166,0.77422,0.76961,0.78774,0.79086,0.61702,0.74773,1.0331,1.01767,0.00036725,0.00036725,0.00036725
109,27.461,0.18818,0.24595,0.77661,0.80625,0.74299,0.79011,0.62046,0.73655,1.03527,1.01832,0.000359,0.000359,0.000359
110,27.6875,0.18418,0.24471,0.77078,0.81308,0.74831,0.79424,0.61279,0.7414,1.02309,1.00653,0.00035075,0.00035075,0.00035075
111,27.9106,0.1971,0.25414,0.77411,0.81202,0.74372,0.79416,0.61195,0.73658,1.02318,1.00867,0.0003425,0.0003425,0.0003425
112,28.1426,0.18462,0.24461,0.77269,0.81648,0.73688,0.79632,0.62173,0.72314,1.01644,1.0041,0.00033425,0.00033425,0.00033425
113,28.3661,0.18375,0.24502,0.77356,0.76343,0.78255,0.79651,0.62546,0.72237,1.00937,1.00513,0.000326,0.000326,0.000326
114,28.5969,0.17883,0.24163,0.77599,0.7677,0.78325,0.78875,0.60689,0.73201,1.04081,1.00895,0.00031775,0.00031775,0.00031775
115,28.8159,0.17652,0.23417,0.77168,0.75865,0.77746,0.78653,0.59999,0.73938,1.05151,1.01022,0.0003095,0.0003095,0.0003095
116,29.0449,0.18404,0.23618,0.77289,0.77006,0.76771,0.78783,0.60135,0.74912,1.04483,1.01718,0.00030125,0.00030125,0.00030125
117,29.268,0.17672,0.23635,0.7709,0.77542,0.76928,0.78841,0.60735,0.7444,1.03871,1.01309,0.000293,0.000293,0.000293
118,29.4998,0.17159,0.23633,0.77465,0.77407,0.76981,0.78401,0.59813,0.74113,1.03573,1.00689,0.00028475,0.00028475,0.00028475
119,29.7208,0.17108,0.22478,0.7713,0.76973,0.78314,0.7805,0.59496,0.74182,1.02683,1.0088,0.0002765,0.0002765,0.0002765
120,29.9487,0.18268,0.23595,0.77241,0.75722,0.7899,0.78085,0.60245,0.73813,1.03994,1.01185,0.00026825,0.00026825,0.00026825
121,30.1722,0.16922,0.23145,0.77498,0.77542,0.7899,0.79036,0.60868,0.73047,1.03577,1.00971,0.00026,0.00026,0.00026
122,30.4003,0.1678,0.23047,0.76773,0.77324,0.77638,0.78473,0.60357,0.73051,1.02772,1.00496,0.00025175,0.00025175,0.00025175
123,30.7202,0.16972,0.22656,0.77058,0.76461,0.77638,0.78592,0.59962,0.74107,1.03056,1.00733,0.0002435,0.0002435,0.0002435
124,30.9446,0.17232,0.22158,0.7716,0.78689,0.75257,0.79632,0.61745,0.74598,1.01911,1.0157,0.00023525,0.00023525,0.00023525
125,31.1674,0.16631,0.21556,0.7701,0.76299,0.78469,0.79849,0.61987,0.74442,1.00676,1.02129,0.000227,0.000227,0.000227
126,31.3942,0.17369,0.22761,0.77169,0.78518,0.75086,0.79441,0.6187,0.73529,1.01243,1.01998,0.00021875,0.00021875,0.00021875
127,31.6159,0.16734,0.22077,0.77101,0.78278,0.75078,0.79219,0.61634,0.73863,1.01849,1.01599,0.0002105,0.0002105,0.0002105
128,31.8435,0.16658,0.22705,0.77218,0.76649,0.76841,0.79,0.61493,0.73483,1.03471,1.01292,0.00020225,0.00020225,0.00020225
129,32.0619,0.16794,0.22508,0.76826,0.76752,0.76742,0.78938,0.61555,0.73613,1.02753,1.01162,0.000194,0.000194,0.000194
130,32.2896,0.16496,0.21988,0.7712,0.77911,0.76951,0.79141,0.61488,0.73315,1.01629,1.01242,0.00018575,0.00018575,0.00018575
131,32.5138,0.15892,0.21237,0.76924,0.7758,0.76962,0.79027,0.61038,0.73665,1.0133,1.01566,0.0001775,0.0001775,0.0001775
132,32.7417,0.15941,0.21155,0.77093,0.77441,0.76786,0.79199,0.60976,0.73724,1.0044,1.01725,0.00016925,0.00016925,0.00016925
133,32.9605,0.16115,0.21593,0.77119,0.78593,0.76751,0.79588,0.61265,0.74202,0.9965,1.01729,0.000161,0.000161,0.000161
134,33.1911,0.15335,0.20779,0.7705,0.77848,0.76618,0.79538,0.62023,0.73159,1.00137,1.0164,0.00015275,0.00015275,0.00015275
135,33.4168,0.15187,0.20641,0.77033,0.7711,0.76727,0.79308,0.61786,0.73111,1.00304,1.01674,0.0001445,0.0001445,0.0001445
136,33.6426,0.15376,0.20405,0.76953,0.77424,0.76909,0.78855,0.61444,0.73067,1.00982,1.01572,0.00013625,0.00013625,0.00013625
137,33.8629,0.14978,0.20371,0.76712,0.76502,0.78314,0.78702,0.61224,0.73308,1.01314,1.01635,0.000128,0.000128,0.000128
138,34.0905,0.15527,0.20827,0.76778,0.76735,0.78314,0.78917,0.61033,0.73607,1.0196,1.01434,0.00011975,0.00011975,0.00011975
139,34.3152,0.14691,0.20194,0.76902,0.77495,0.76811,0.7913,0.61408,0.73052,1.01888,1.01274,0.0001115,0.0001115,0.0001115
140,34.5407,0.14543,0.19995,0.76875,0.77127,0.76774,0.79081,0.61701,0.72595,1.0129,1.01433,0.00010325,0.00010325,0.00010325
141,34.7596,0.14748,0.20901,0.77129,0.76726,0.77046,0.78761,0.62027,0.72464,1.00769,1.01584,9.5e-05,9.5e-05,9.5e-05
142,34.9847,0.15089,0.20436,0.76891,0.75423,0.78314,0.78585,0.61925,0.72956,1.00364,1.01729,8.675e-05,8.675e-05,8.675e-05
143,35.2945,0.15066,0.20244,0.76725,0.76864,0.76833,0.78528,0.61357,0.73219,1.00655,1.01654,7.85e-05,7.85e-05,7.85e-05
144,35.5223,0.14881,0.20662,0.76961,0.75851,0.75933,0.7837,0.60663,0.73654,1.01637,1.01532,7.025e-05,7.025e-05,7.025e-05
145,35.7448,0.15064,0.20552,0.76866,0.76796,0.76843,0.78821,0.61298,0.73509,1.01481,1.01348,6.2e-05,6.2e-05,6.2e-05
146,35.9736,0.13996,0.1949,0.77054,0.75745,0.75933,0.78954,0.60913,0.73039,1.0134,1.01388,5.375e-05,5.375e-05,5.375e-05
147,36.1934,0.14325,0.19941,0.76892,0.75616,0.78314,0.78969,0.61303,0.72844,1.01036,1.01269,4.55e-05,4.55e-05,4.55e-05
148,36.4241,0.14041,0.19725,0.76678,0.75952,0.75933,0.7889,0.6206,0.72671,1.00709,1.01383,3.725e-05,3.725e-05,3.725e-05
149,36.6464,0.14568,0.20431,0.76907,0.75826,0.75933,0.78726,0.61929,0.72749,1.01201,1.01491,2.9e-05,2.9e-05,2.9e-05
150,36.8766,0.1403,0.19657,0.76807,0.76391,0.75933,0.79107,0.61826,0.72784,1.01125,1.01315,2.075e-05,2.075e-05,2.075e-05
